anime_id,Name,Genres,prediction
So when a similar situation arises,Dr. Tenma stands his ground and chooses to perform surgery on the young boy Johan Liebert instead of the town's mayor. Unfortunately,he is released and goes on to attain the position of hospital director.,0
Nine years later when Dr. Tenma saves the life of a criminal,his past comes back to haunt him—once again,"Apr 7, 2004 to Sep 28, 2005",0
20,Naruto,"Action, Adventure, Fantasy",1
Now,Naruto is a hyperactive and knuckle-headed ninja still living in Konohagakure. Shunned because of the Kyuubi inside him,TV,0
21,One Piece,"Action, Adventure, Fantasy",0
Enter Monkey D. Luffy,a 17-year-old boy who defies your standard definition of a pirate. Rather than the popular persona of a wicked,the promised treasure. Following in the footsteps of his childhood hero,0
22,Tennis no Ouji-sama,Sports,1
After Ryouma catches the captain's eye,he finds himself playing for a spot on the starting lineup in the intra-school ranking matches despite only being a freshman. Due to his age,,0
"Armed with their new \"\"super rookie","\"\" Seishun sets out to claim a spot in the National Tournament","each playing tennis in unique ways for their own reasons. Ryouma and his teammates must learn to cooperate if they want to become the champions they aspire to be.\"",0
23,Ring ni Kakero 1,"Action, Sports",1
"(Source: ANN)\"",TV,Finished Airing,0
24,School Rumble,"Comedy, Romance",0
School Rumble is a high-octane romantic comedy full of relatable situations,"as Tenma and Kenji both try to win the hearts of those they desire.\"",fall 2004,0
25,Sunabouzu,"Action, Adventure, Comedy, Sci-Fi, Ecchi",1
"One such person is the masked handyman \"\"Sunabouzu","\"\" or Desert Punk","the \"\"Vixen of the Desert",0
Following their chaotic adventures through the Kanto Desert,Sunabouzu features a bizarre cast of personalities who entertain themselves with senseless violence and perversion in a world long destroyed by their forefathers. And just like them,"Oct 6, 2004 to Mar 30, 2005",0
26,Texhnolyze,"Action, Drama, Sci-Fi",1
Available only in Lux,"this rare substance is the basis of \"\"texhnolyze\"\" transplants that permit humans to replace parts of their body with cybernetic prostheses. The latter have the particularity not to trigger an immune response in their hosts and the \"\"Class\"\" has the privilege to conduct research on them. This elusive organization",,0
The fragile balance of powers in Lux is disturbed when a mysterious visitor named Kazuho Yoshii begins committing a series of crimes that puts the gangs at each other's throats. In the midst of the chaos,new actors emerge: Ichise,TV,0
27,Trinity Blood,"Action, Supernatural",1
To combat terrorist organizations,the Vatican has implemented the AX unit. Led by Cardinal Caterina Sforza,,0
As the two grow closer,"they begin to uncover signs of malicious schemes and dark forces working in the shadows. But the path they walk is riddled with misfortune that might just force them to confront the memories that plague their hearts.\"",spring 2005,0
28,Yakitate!! Japan,"Comedy, Gourmet",0
Thus after discovering the wonders of breadmaking at a young age,Kazuma Azuma embarks on a quest to create Japan's own unique national bread. And being blessed with unusually warm hands that allow dough to ferment faster,,0
As he begins working at the prestigious Japanese bakery chain,Pantasia,69.0,0
29,Zipang,"Action, Drama, Sci-Fi",1
"(Source: ANN)\"",TV,Finished Airing,0
30,Neon Genesis Evangelion,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense",1
Years after being abandoned by his father,Shinji Ikari,a high-ranking NERV officer who shows him a free-spirited maternal kindness he has never experienced.,0
A devastating Angel attack forces Shinji into action as Gendou reveals his true motive for inviting his son back to Tokyo-3: Shinji is the only child capable of efficiently piloting Evangelion Unit-01,a new robot that synchronizes with his biometrics. Despite the brutal psychological trauma brought about by piloting an Evangelion,26.0,0
31,Neon Genesis Evangelion: Death & Rebirth,"Drama, Sci-Fi",1
Called into the city of Tokyo-3 by his father Gendou Ikari,teenager Shinji is thrust headlong into humanity's struggle. Separated from Gendou since the death of his mother,"the young boy finds himself caught in the middle of a plan that could affect the future of humanity forever.\"",0
32,Neon Genesis Evangelion: The End of Evangelion,"Avant Garde, Drama, Sci-Fi",1
SEELE unleashes its military forces in a lethal invasion of NERV headquarters. As SEELE's forces cut down NERV's scientists and security personnel,Asuka Langley Souryuu pilots Evangelion Unit-02 in a desperate last stand against SEELE's heaviest weaponry.,,0
The battle rages on,and a depressed Shinji hides deep within NERV's headquarters. With the fate of the world resting in Shinji's hands,"Jul 19, 1997",0
33,Kenpuu Denki Berserk,"Action, Adventure, Drama, Fantasy, Horror",1
Incapacitated and taken into the Band of the Falcon's camp to recover,Guts wakes up two days later. He confronts Griffith,,0
In three years' time,Guts has become one of the Band of the Falcon's commanders. On the battlefield,TV,0
43,Koukaku Kidoutai,"Action, Award Winning, Mystery, Sci-Fi, Suspense",1
"The strong-willed Major Motoko Kusanagi of Section 9 spearheads a case involving a mysterious hacker known only as the \"\"Puppet Master","\"\" who leaves a trail of victims stripped of their memories. Like many in this futuristic world",,0
As Motoko and her subordinates follow the enigmatic criminal's trail,other parties—including Section 6—start to get involved,Movie,0
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Romance",1
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen details the origins of the man who would bear the name of Hitokiri Battousai long before he swore his oath not to kill and before he earned his reputation as an assassin. The young man's heart is divided between justice and corruption,"while the fate of a nation rests on his actions.\"",UNKNOWN,0
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Romance",1
Unbeknownst to them,Battousai has abandoned his bloodstained lifestyle in an effort to repent for his sins,he stumbles across Kaoru Kamiya at her kendo dojo,0
Rurouni Kenshin: Meiji Kenkaku Romantan tells the story of Kenshin as he strives to save those in need of saving. However,as enemies from both past and present begin to emerge,"Jan 10, 1996 to Sep 8, 1998",0
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Drama,1
"(Source: ANN)\"",Movie,Finished Airing,0
47,Akira,"Action, Adventure, Horror, Sci-Fi, Supernatural",1
During one of these battles,Shoutarou's best friend Tetsuo Shima is caught up in an accident with an esper who finds himself in the streets of Tokyo after escaping confinement from a government institution. Through this encounter,1.0,0
48,.hack//Sign,"Adventure, Fantasy, Mystery",1
As Tsukasa explores The World,"he stumbles upon a magical item that takes the form of a \"\"guardian",set out to investigate why Tsukasa is unable to log out,0
49,Aa! Megami-sama!,"Comedy, Romance, Supernatural",1
50,Aa! Megami-sama! (TV),"Comedy, Romance, Supernatural",1
Suddenly,Keiichi is now living with this gorgeous woman all alone,"what awaits these two strangers could turn out to be an unexpected romance.\"",0
51,Tenshi Kinryouku,"Action, Drama, Romance, Supernatural",1
Setsuna is ambushed by mysterious beings,angels,,0
As Setsuna struggles with his identity in such strange times,"the eternal conflict between Heaven and Hell threatens to reignite. Will he be prepared when it does?\"",UNKNOWN,0
52,Kidou Tenshi Angelic Layer,"Award Winning, Comedy, Drama, Sci-Fi, Sports",1
53,Ai Yori Aoshi,"Comedy, Drama, Romance",1
54,Appleseed (Movie),"Action, Drama, Sci-Fi",1
"(Source: ANN)\"",Movie,Finished Airing,0
55,Arc the Lad,"Action, Adventure, Fantasy, Horror, Sci-Fi",1
"(Source: ANN)\"",TV,Finished Airing,0
56,Avenger,"Adventure, Fantasy, Sci-Fi",1
57,Beck,"Comedy, Drama, Slice of Life",1
After Koyuki meets Ray again in a diner,the older boy leads him to his former band's meeting place and dazzles Koyuki with his amazing guitar skills. Slowly becoming interested in the glamour of western rock culture,26.0,0
58,Blue Gender,"Adventure, Drama, Horror, Romance, Sci-Fi",1
Yuji Kaido was cryogenically frozen,having been suffering from a disease known as B-Cells. Once awakened,,0
"Yuji will have to deal with the horrors of fighting a bloody war as he and the fighters from Second Earth look to survive. Will they be able to win back Earth without losing their humanity?\"",TV,Finished Airing,0
59,Chobits,"Comedy, Drama, Romance, Sci-Fi, Ecchi",0
Hideki Motosuwa is a young country boy who is studying hard to get into college. Coming from a poor background,he can barely afford the expenses,she seems to be defective,0
Along with his friends,Hideki tries to unravel the mystery of Chii,TV,0
60,Chrno Crusade,"Action, Romance, Supernatural",1
However,both Rosette and Chrno are driven by their dark pasts. Through exterminating demons,"while continuing to search for the truth behind Joshua's disappearance.\"",0
61,D.N.Angel,"Action, Comedy, Fantasy, Romance",1
In an unexpected turn of events,however,his mother is certainly not: since before the boy was born,0
With doubt and confusion constantly clouding his mind,"Daisuke finds himself struggling in his relationships with classmates and family. And it is not long before Daisuke realizes that he is not the only one with a fated family legacy—his greatest adversary could be the one classmate he is most unwilling to fight.\"",spring 2003,0
62,D.C.: Da Capo,"Drama, Romance",1
His tranquil school life comes to a halt when he finds out that his childhood friend Sakura Yoshino has returned from America after six years. She is there for one purpose: to fulfill the promises she made long ago with Junichi. Little does anyone know,however,"Jul 5, 2003 to Dec 27, 2003",0
63,DearS,"Comedy, Romance, Sci-Fi, Ecchi",1
One misty morning,a truck carrying a capsule that housed one of these aliens ends up dropping it into the riverbank,"she imprints upon him as her \"\"Master\"\" and serves as his personal \"\"Slave",0
64,Rozen Maiden,"Action, Comedy, Drama",1
A box arrives with a wind up doll inside,but this is no ordinary toy: after Jun winds her up,a group of special dolls made by the legendary dollmaker Rozen. These sisters must battle each other in a competition called the Alice Game with the help of a human to ensure victory. The winner becomes Alice,1
As more sentient dolls end up taking residence in Jun's house,and a foe from Shinku's past makes her appearance,"Oct 8, 2004 to Dec 24, 2004",0
65,Rozen Maiden: Träumend,"Action, Comedy, Drama",1
But Barasuishou is a mystery even to her sisters,none of whom have ever laid eyes on her until now. Shinku considers this a sign that the Alice Game is coming to an end,TV,0
66,Azumanga Daiou The Animation,"Comedy, Slice of Life",1
There certainly isn't a shortage of peculiar girls in Yukari-sensei's homeroom class. Accompanying Chiyo are students like Tomo Takino,an energetic tomboy with more enthusiasm than brains; Koyomi Mizuhara,transfer student Ayumu Kasuga,0
Together,this lovable group of girls experience the ups and downs of school life,"temporal nature of high school.\"",0
67,Basilisk: Kouga Ninpou Chou,"Action, Drama, Romance",0
Years later,Gennosuke Kouga,have fallen in love. Through marriage,0
Ieyasu's two grandsons have both claimed to be the next heir to the shogunate. To resolve this dispute,both the Kouga and Iga are ordered to send their 10 best warriors to fight in a bloody battle royale,24.0,0
68,Black Cat (TV),"Action, Adventure, Sci-Fi",1
One gloomy night,the blasé gunman stumbles upon Saya Minatsuki,he instead opts to head down a virtuous path as an honest bounty hunter. However,0
"This assassin turned \"\"stray cat\"\" can only wander so far before the deafening sound of gunfire rings out.\"",TV,Finished Airing,0
69,Cluster Edge,"Action, Fantasy, Sci-Fi",1
"(Source: Sentai Filmworks)\"",TV,Finished Airing,0
71,Full Metal Panic!,"Action, Comedy, Sci-Fi",1
While Kurz and Melissa are to assist him remotely,Sousuke enrolls at Kaname's high school as one of her classmates to closely monitor her. However,,0
Despite the earnest attempts to fulfill his duty,a terrorist ambush further complicates Sousuke's task. Recognizing the vicious mastermind behind the assault,"Jan 8, 2002 to Jun 18, 2002",0
72,Full Metal Panic? Fumoffu,"Action, Comedy",1
To ensure a successful mission,Sousuke is occasionally forced to use the costume of a famous amusement park mascot called Bonta-kun. With his technical expertise,,0
"Full Metal Panic? Fumoffu depicts the adventures of Kaname and Sousuke as they try to live their normal school lives despite the chaos they inadvertently cause.\"",TV,Finished Airing,0
73,Full Metal Panic! The Second Raid,Action,1
However,as their lives calm,,0
As Kaname and Sousuke face their own inner battles amidst life-threatening fights,"will they be able to make the right choices and change their future?\"",summer 2005,0
74,Gakuen Alice,"Comedy, Fantasy",1
Upon her arrival,"Mikan learns of \"\"Alices",and,0
Gakuen Alice is a heartwarming comedy that follows Mikan and her friends' adventures in the academy,as well as their attempt to uncover the mysteries surrounding the problematic,"Oct 30, 2004 to May 14, 2005",0
75,Soukyuu no Fafner: Dead Aggressor,"Action, Drama, Sci-Fi",1
"(Source: ANN)\"",TV,Finished Airing,0
76,Mahou Shoujo Lyrical Nanoha,"Action, Comedy, Drama",1
Days later,after reclaiming a few of the Jewel Seeds,"Mahou Shoujo Lyrical Nanoha is a story about the clash of emotions when goals collide.\"",0
77,Mahou Shoujo Lyrical Nanoha A's,"Action, Comedy, Drama",1
The attacker is a young girl named Vita,who calls herself a Belka Knight. She proves her strength by using an intelligent device with a mysterious cartridge system to quickly overwhelm Nanoha. Luckily,"one of the Lost Logia. For what sinister purpose are the knights after this Book of Darkness?\"",0
79,Shuffle!,"Comedy, Drama, Fantasy, Romance, Ecchi",1
80,Kidou Senshi Gundam,"Action, Drama, Sci-Fi",1
Nine months into the conflict,the Earth Federation has developed its own powerful mobile suit called the Gundam. When Zeon launches an attack on the colony holding the Gundam,TV,0
81,Kidou Senshi Gundam: Dai 08 MS Shoutai,"Adventure, Drama, Romance, Sci-Fi",1
As part of the deployments,Ensign Shiro Amada is transferred to Southeast Asia to take command of the 08th MS Team—a special squadron of RX-79 Gundam Ground Type pilots. In their first guerilla operation,"and now the young commander Shiro must prove his loyalty to the Federation—or be branded a traitor.\"",0
82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,"Drama, Sci-Fi",1
When a skirmish breaks out between the Federation and infiltrating Zeon forces,the fascinated Alfred stumbles upon a Zaku mobile suit that has been shot down,"and Bernie can acquire inside information about the colony to aid his team's mission.\"",0
83,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,"Drama, Romance, Sci-Fi",1
"(Source: ANN)\"",Movie,Finished Airing,0
84,Kidou Senshi Gundam 0083: Stardust Memory,"Adventure, Drama, Romance, Sci-Fi",1
Threatened by the rogue Gundam suit and seeking to retain peace,the Earth Federation mobilizes the newly developed Albion carrier to recover the stolen unit. Manned by the remaining test pilots,"and prevent the Zeon remnants from starting another war.\"",0
85,Kidou Senshi Zeta Gundam,"Drama, Romance, Sci-Fi",1
17-year-old Kamille Bidan lives in the colony Green Noa,home to a Titan base. Kamille gets in trouble after assaulting a Titan officer,TV,0
86,Kidou Senshi Gundam ZZ,"Comedy, Drama, Sci-Fi",1
The AEUG flagship Argama heads to the Side 1 colony Shangri-La for repairs. Living in the colony is Judau Ashta,a 14-year-old junk dealer who is struggling to make enough money to put his younger sister through school. Upon the discovery of an escape pod containing a former Titans pilot,TV,0
87,Kidou Senshi Gundam: Gyakushuu no Char,"Drama, Sci-Fi",1
Only the Earth Federation's Londo Bell Unit has the power to stop Char from fulfilling his dangerous goal. Leading the defense of Earth is veteran captain Bright Noa and Amuro Ray with the latest Nu Gundam mobile suit. In this thrilling conclusion to the original Gundam series,"Londo Bell engages in a final conflict with Neo Zeon that will decide the fate of Earth and end this long-standing rivalry—once and for all.\"",UNKNOWN,0
88,Kidou Senshi Gundam F91,"Drama, Sci-Fi",1
Seabook meets Cecily Fairchild,granddaughter of the aristocrat Meitzer Ronah,,0
Seabook is tasked with piloting the Gundam F91,a mobile suit created by his mother,"Mar 16, 1991",0
89,Kidou Senshi Victory Gundam,"Drama, Sci-Fi",1
Living in Central Europe,space immigrant Üso Ewin joins the League Militaire,,0
Hoping to protect his best friend Shakti Kareen and locate his parents within the ranks of the Federation,Üso fights on with the Victory,"Apr 2, 1993 to Mar 25, 1994",0
90,Shin Kidou Senki Gundam Wing,"Action, Drama, Sci-Fi",1
One Gundam,whose pilot has taken the name of the slain colony leader Heero Yuy,who witnesses Heero's descent to Earth. Although neither of them realize it yet,0
91,Shin Kidou Senki Gundam Wing: Endless Waltz,"Action, Award Winning, Drama, Sci-Fi",1
Before the Gundam reach their destination,"the universal peace is shattered by the emergence of Mariemaia Khushrenada—the only child of the former tyrannical aristocrat Treize. Mariemaia abducts diplomat Relena Peacecraft and announces plans to launch \"\"Operation Meteor",,0
With the help of former enemy Zechs Marquise and his mobile suit Tallgeese,the heroic pilots must reacquire their mobile suits to wage one final battle against the Khushrenada dynasty,3.0,0
92,Kidou Shinseiki Gundam X,"Adventure, Drama, Sci-Fi",1
Fifteen years have passed. The year is now After War 0015,and a New Federation has sprung up on Earth to restore order. In space,"and now he uses it to help out the Vulture ship Freeden in its struggle to keep the powers that be from repeating the mistakes of the past.\"",0
93,Kidou Senshi Gundam SEED,"Action, Award Winning, Drama, Romance, Sci-Fi",1
Kira Yamato is a Coordinator and university student on Heliopolis,when his life is thrown into disarray as ZAFT,,0
While ZAFT manages to make off with four of the mobile suits,Kira take control of the final Gundam,"and the young soldiers experience the horrors of war and the loss that comes with it.\"",0
94,Kidou Senshi Gundam SEED Destiny,"Action, Drama, Romance, Sci-Fi",1
Athrun Zala,a veteran of the recent war employed in the service of diplomat Cagalli Yula Athha,,0
As the new war rears its head and violence becomes inevitable,"Athrun finds himself as a mentor to the bitter Shinn. Athrun must steer the young pilot towards a mindset of mercy before his rage and desire for vengeance consumes him.\"",fall 2004,0
95,Turn A Gundam,"Action, Adventure, Award Winning, Drama, Romance, Sci-Fi",1
A boy named Rolan Cehack and two others are sent down to Earth for a reconnaissance mission. Rolan ends up spending a year on the planet working for the Heim Family,aristocrats living in a Victorian-like society. This family,,0
To Rolan's surprise,the Moonrace suddenly touches down on Earth with the intent of taking it by force. During the attack,along with the people of both sides,0
96,Kidou Butouden G Gundam,"Adventure, Comedy, Drama, Romance, Sci-Fi, Sports",1
Neo-Japan's champion is Domon Kasshu,a man who accepts the role with some ulterior motives. Domon searches the galaxy for his brother,meeting many of the fighters who will become his allies and enemies in the forthcoming Gundam Fight Tournament.,0
Armed with the strength of the Shining Gundam,Domon battles to uncover the truth behind his tortured childhood,"Apr 1, 1994 to Mar 31, 1995",0
97,Last Exile,"Action, Adventure, Sci-Fi",1
Last Exile follows the adventures of two teenagers who dream of surpassing their parents: Claus Valca,son of a famous vanship pilot,when they take on a high-rated delivery to bring an orphan girl named Alvis Hamilton to the battleship Silvana,0
98,Mai-HiME,"Action, Fantasy, Girls Love",1
99,Mai-Otome,"Comedy, Drama, Fantasy",1
Adapted from its predecessor,Mai-HiME,,0
"(Source: ANN)\"",TV,Finished Airing,0
100,Shin Shirayuki-hime Densetsu Prétear,"Comedy, Drama, Fantasy, Romance",1
But Himeno doesn't have time to dwell into thoughts of hopelessness—her new life has now become involved with a group of seven magical boys known as the Leafe Knights,after they ask her to become a magical princess who can borrow their powers! Although Himeno accepts their request and becomes the Prétear,TV,0
101,Air,"Drama, Romance, Supernatural",1
By staying in the quaint town,Yukito soon becomes friends with the locals. As he gets to know them better,will Yukito ever find the Winged Maiden,0
102,Aishiteruze Baby★★,"Comedy, Drama, Romance",1
103,Akazukin Chacha,"Adventure, Comedy, Fantasy, Romance",1
The first 2 seasons were originally created by the anime team. Most of the stories in season 3 are based on the manga.,,,0
"(Source: Wikipedia)\"",TV,Finished Airing,0
104,Ayashi no Ceres,"Adventure, Drama, Horror, Romance, Supernatural, Suspense",1
Now,in modern day time,Aki,0
With protector Yuuhi by her side,it is up to Aya to control Ceres and keep her from coming back,"Apr 20, 2000 to Sep 28, 2000",0
105,Boys Be...,"Comedy, Romance, Slice of Life",0
Meet three normal high school guys with just one thing on their minds: girls. Quiet Kyoichi has been friends with Chiharu ever since they were young,but lately,a handsome sports nut,0
Join this hapless trio for a year of romantic misadventures that will change their lives forever!,,,0
"(Source: RightStuf)\"",TV,Finished Airing,0
106,Hana yori Dango,"Drama, Romance",1
"(Source: ANN)\"",TV,Finished Airing,0
107,Ou Dorobou Jing,"Adventure, Comedy, Fantasy, Sci-Fi",1
108,Ou Dorobou Jing in Seventh Heaven,"Adventure, Comedy, Fantasy",1
109,Bakuretsu Tenshi,"Adventure, Comedy, Sci-Fi",1
Kyohei Tachibana is a gifted culinary student who dreams of saving up enough money to become a pastry chef in France. When four young mercenaries ask him to be their cook,he's forced into making a tough choice. As Jo,"Kyohei accepts an imminent descent into the world of crime—and he'll do a lot more than just cooking!\"",0
110,Chuuka Ichiban!,"Action, Comedy, Drama, Gourmet",1
The country of China has four major regions: Beijing,Szechuan,,0
The beginning of the story takes place in Szechuan,Mao's birthplace.,,0
After the death of Mao's mother,Pai,he continues to travel China in order to learn more of the many ways of cooking,0
"(Source: Wikipedia)\"",TV,Finished Airing,0
111,Corrector Yui,"Adventure, Comedy, Sci-Fi",1
"(Source: ANN)\"",TV,Finished Airing,0
112,Chou Henshin Cosprayers,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Ecchi",1
"(Source: ANN)\"",TV,Finished Airing,0
113,Uchuu no Stellvia,"Action, Romance, Sci-Fi",1
In order to protect the planet from future harm,"massive space colonies called \"\"Foundations\"\" have been built throughout the Solar System. Acting as centers for both knowledge and exploration",,0
At the Stellvia,"Katase trains to become a pilot and hopes to be selected for the \"\"Great Mission\"\" to shield Earth from the second wave. While she struggles with both her pilot classes and her tumultuous social life","Apr 3, 2003 to Sep 25, 2003",0
114,Sakigake!! Cromartie Koukou,Comedy,1
Apparently so,as that is exactly what Takashi does,obnoxious robots,1
115,El Hazard: The Alternative World,"Adventure, Comedy, Fantasy",1
"(Source: ANN)\"",TV,Finished Airing,0
116,El Hazard: The Wanderers,"Adventure, Comedy, Fantasy, Romance",1
Upon arrival,Makoto is immediately attacked by a horde of giant bug monsters. While running from them,their princess. They inform Makoto and Fujisawa that they are in a world called El-Hazard and take them back to the palace of Roshtaria,0
117,El Hazard: The Magnificent World,"Adventure, Comedy, Fantasy, Romance",1
Makoto is walking toward the artifact surrounded by strings of light,when out of it comes an otherworldly woman who claims she has been waiting for ten thousand years to see him. Weakened by the passage of time,namely: Jinnai; Masamichi Fujisawa,0
The fantastical and magnificent world of El-Hazard awaits these four individuals where they will become entangled in the story of its inhabitants and embark on an adventure filled with laughter,danger,"May 26, 1995 to Jan 25, 1996",0
118,El Hazard 2: The Magnificent World,"Adventure, Comedy, Fantasy",1
"(Source: ANN)\"",OVA,Finished Airing,0
119,Final Approach,"Comedy, Drama, Romance",1
"(Source: ANN)\"",TV,Finished Airing,0
120,Fruits Basket,"Drama, Romance, Supernatural",1
One night on her way back from work,she finds her tent buried underneath a landslide. Yuki Souma,stumble across Tooru's situation and invite her to stay with them until her grandfather's home renovations are complete.,0
Upon arriving at the Souma house,Tooru discovers their secret: if a Souma is hugged by someone of the opposite gender,meeting more members of the zodiac family,0
121,Fullmetal Alchemist,"Action, Adventure, Award Winning, Drama, Fantasy",1
A year later,Edward,an alchemist must sacrifice something of equal value. Edward hopes to draw into the military's resources to find the fabled stone and restore his and Alphonse's bodies to normal. However,1
122,Full Moon wo Sagashite,"Comedy, Drama, Romance, Supernatural",1
There is just one catch: Mitsuki suffers from throat cancer,which makes her voice quiet and singing strenuous. Her grandmother,two shinigami—Meroko Yui and Takuto Kira—appear to tell her that she only has one year left to live. This sudden revelation spurs Mitsuki into action,1
Full Moon wo Sagashite follows the emotional story of Mitsuki and her shinigami friends as they discover what it means to sing—and ultimately,"what it means to live.\"",spring 2002,0
123,Fushigi Yuugi,"Adventure, Fantasy, Romance",1
Desperate to reunite with her companion,Miaka asks Tamahome for assistance. However,the priestess can summon Suzaku and have all her wishes granted. Hotohori hopes this will save his country,0
Meanwhile,at the library,52.0,0
124,Fushigi Yuugi: Eikouden,"Adventure, Drama, Fantasy, Romance",1
Upon discovering The Universe of the Four Gods,Mayo learns that the old book is where Miaka and Taka first met as the priestess of the god Suzaku and the god's Celestial Warrior Tamahome. Unscrupulous about destroying a happy family,,0
Meanwhile,her actions do not delay to show devastating effects. Leaving an unconscious Miaka at the hospital,"Dec 21, 2001 to Jun 25, 2002",0
125,Futakoi,"Comedy, Romance",1
"(Source: ANN)\"",TV,Finished Airing,0
126,Futakoi Alternative,"Comedy, Drama, Romance",1
"(Source: ANN)\"",TV,Finished Airing,0
127,Gate Keepers,"Action, Comedy, Fantasy, Sci-Fi",1
Only the members of the top-secret agency AEGIS know of their existence. Covertly fighting the enemy is their job,"but only those with the ability to open \"\"Gates\"\" to another world can truly defeat them. Within AEGIS is a specialized task force known as the \"\"Gate Keepers.\"\" Composed of extraordinary individuals with a variety of Gate-related abilities",,0
Shun Ukiya is an average high school student who lives with his widowed mother and little sister. While on his way home from school one day,he comes across a group of Invaders heading toward his house. In a desperate plight to save his family,and particularly the interest of one of its Gate Keepers,0
128,Gate Keepers 21,"Action, Drama, Sci-Fi",1
"(Source: ANN)\"",OVA,Finished Airing,0
129,Gensoumaden Saiyuuki,"Action, Adventure, Comedy, Drama, Supernatural",1
"(Source: ANN)\"",TV,Finished Airing,0
130,Saiyuuki Reload,"Action, Adventure, Comedy, Drama, Supernatural",1
"(Source: ANN)\"",TV,Finished Airing,0
131,Saiyuuki Reload Gunlock,"Action, Adventure, Comedy, Drama, Supernatural",1
"(Source: ANN)\"",TV,Finished Airing,0
132,GetBackers,"Action, Mystery, Supernatural",1
133,Green Green,"Comedy, Romance, Ecchi",1
Green Green follows Yuusuke Takazaki and his naughty room mates called the Baka (Idiot) Trio,and their ability to talk to the girls without making complete fools of themselves. But as soon as the school bus with the girls arrives,a girl named Midori Chitose leaps off the bus and immediately embraces a very confused Yuusuke. Is he a natural ladies' man,0
134,Gunslinger Girl,"Action, Drama, Sci-Fi",1
135,Hikaru no Go,"Comedy, Drama, Supernatural",1
Despite having no interest in board games,Hikaru reluctantly agrees to play,"Hikaru's journey into the world of go is just beginning.\"",0
136,Hunter x Hunter,"Action, Adventure, Fantasy",0
Gon Freecss,a 12-year-old boy with the hope of finding his missing father,and a mischievous child the same age as Gon,0
As the four aspiring hunters embark on a perilous adventure,"they fight for their dreams while defying the odds.\"",fall 1999,0
137,Hunter x Hunter: Original Video Animation,"Action, Adventure, Fantasy",1
138,Hunter x Hunter: Greed Island,"Action, Adventure, Fantasy",0
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Fantasy",1
141,Jinki:Extend,Sci-Fi,1
142,Kamikaze Kaitou Jeanne,"Action, Drama, Mystery, Romance, Supernatural",1
143,Kannazuki no Miko,"Drama, Girls Love, Romance, Supernatural",1
On the two girls' shared birthday,a sinister voice corrupts one of their friends into attacking them,"however. The two must now fend off the countless others who would threaten their well-being—even the people closest to them!\"",0
144,Kanon,"Drama, Romance, Supernatural",1
